Date/Time	Counts	Val 1	Val 2
2023-08-10 9:55:36 AM	36	0.6 cps	36.0 cpm
2023-08-10 9:56:36 AM	33	0.5 cps	30.0 cpm
2023-08-10 9:57:36 AM	38	0.5 cps	30.0 cpm
2023-08-10 9:58:36 AM	47	0.6 cps	36.0 cpm
2023-08-10 9:59:36 AM	45	0.3 cps	18.0 cpm
2023-08-10 10:00:36 AM	57	1.1 cps	66.0 cpm
2023-08-10 10:01:36 AM	31	0.5 cps	30.0 cpm
2023-08-10 10:02:36 AM	38	0.6 cps	36.0 cpm
2023-08-10 10:03:36 AM	37	0.5 cps	30.0 cpm
2023-08-10 10:04:36 AM	30	0.7 cps	42.0 cpm
2023-08-10 10:05:36 AM	35	0.9 cps	54.0 cpm
2023-08-10 10:06:36 AM	41	0.2 cps	12.0 cpm
2023-08-10 10:07:36 AM	45	0.8 cps	48.0 cpm
2023-08-10 10:08:36 AM	44	0.5 cps	30.0 cpm
2023-08-10 10:09:36 AM	35	0.6 cps	36.0 cpm
2023-08-10 10:10:36 AM	38	1.0 cps	60.0 cpm
2023-08-10 10:11:36 AM	46	0.5 cps	30.0 cpm
2023-08-10 10:12:36 AM	37	0.4 cps	24.0 cpm
2023-08-10 10:13:36 AM	36	0.5 cps	30.0 cpm
2023-08-10 10:14:36 AM	34	0.5 cps	30.0 cpm
2023-08-10 10:15:36 AM	35	0.7 cps	42.0 cpm
2023-08-10 10:16:36 AM	32	0.2 cps	12.0 cpm
2023-08-10 10:17:36 AM	39	0.2 cps	12.0 cpm
2023-08-10 10:18:36 AM	30	0.6 cps	36.0 cpm
2023-08-10 10:19:36 AM	31	0.7 cps	42.0 cpm
2023-08-10 10:20:36 AM	41	0.9 cps	54.0 cpm
2023-08-10 10:21:36 AM	41	0.6 cps	36.0 cpm
2023-08-10 10:22:36 AM	35	0.3 cps	18.0 cpm
2023-08-10 10:23:36 AM	38	0.8 cps	48.0 cpm
