Date/Time	Counts	Val 1	Val 2
2023-08-16 10:13:37 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:13:38 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:13:39 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:13:40 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:13:41 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:13:42 AM	2	0.7 cps	40.0 cpm
2023-08-16 10:13:43 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:13:44 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:13:45 AM	2	0.7 cps	39.0 cpm
2023-08-16 10:13:46 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:13:47 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:13:48 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:13:49 AM	1	0.7 cps	42.0 cpm
2023-08-16 10:13:50 AM	0	0.7 cps	42.0 cpm
2023-08-16 10:13:51 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:13:52 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:13:53 AM	3	0.7 cps	43.0 cpm
2023-08-16 10:13:54 AM	3	0.7 cps	44.0 cpm
2023-08-16 10:13:55 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:13:56 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:13:57 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:13:58 AM	1	0.7 cps	42.0 cpm
2023-08-16 10:13:59 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:00 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:01 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:14:02 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:14:03 AM	2	0.7 cps	40.0 cpm
2023-08-16 10:14:04 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:14:05 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:14:06 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:14:07 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:08 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:09 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:10 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:11 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:14:12 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:13 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:14 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:14:15 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:14:16 AM	0	0.6 cps	37.0 cpm
2023-08-16 10:14:17 AM	0	0.6 cps	37.0 cpm
2023-08-16 10:14:18 AM	0	0.6 cps	36.0 cpm
2023-08-16 10:14:19 AM	0	0.6 cps	35.0 cpm
2023-08-16 10:14:20 AM	0	0.6 cps	33.0 cpm
2023-08-16 10:14:21 AM	2	0.6 cps	35.0 cpm
2023-08-16 10:14:22 AM	0	0.6 cps	35.0 cpm
2023-08-16 10:14:23 AM	0	0.6 cps	35.0 cpm
2023-08-16 10:14:24 AM	2	0.6 cps	37.0 cpm
2023-08-16 10:14:25 AM	2	0.7 cps	39.0 cpm
2023-08-16 10:14:26 AM	2	0.7 cps	40.0 cpm
2023-08-16 10:14:27 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:28 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:14:29 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:30 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:14:31 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:14:32 AM	1	0.7 cps	40.0 cpm
