Date/Time	Counts	Val 1	Val 2
2023-08-16 10:16:54 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:16:55 AM	1	0.7 cps	42.0 cpm
2023-08-16 10:16:56 AM	2	0.7 cps	44.0 cpm
2023-08-16 10:16:57 AM	1	0.8 cps	45.0 cpm
2023-08-16 10:16:58 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:16:59 AM	1	0.7 cps	44.0 cpm
2023-08-16 10:17:00 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:17:01 AM	2	0.8 cps	45.0 cpm
2023-08-16 10:17:02 AM	0	0.7 cps	44.0 cpm
2023-08-16 10:17:03 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:17:04 AM	1	0.7 cps	44.0 cpm
2023-08-16 10:17:05 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:17:06 AM	0	0.7 cps	42.0 cpm
2023-08-16 10:17:07 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:17:08 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:17:09 AM	1	0.7 cps	42.0 cpm
2023-08-16 10:17:10 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:17:11 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:12 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:13 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:14 AM	2	0.6 cps	38.0 cpm
2023-08-16 10:17:15 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:16 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:17:17 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:17:18 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:17:19 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:20 AM	2	0.7 cps	41.0 cpm
2023-08-16 10:17:21 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:17:22 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:17:23 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:17:24 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:17:25 AM	2	0.7 cps	41.0 cpm
2023-08-16 10:17:26 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:17:27 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:17:28 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:29 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:30 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:31 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:32 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:33 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:34 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:17:35 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:17:36 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:37 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:38 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:39 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:40 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:41 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:42 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:43 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:44 AM	0	0.6 cps	37.0 cpm
2023-08-16 10:17:45 AM	0	0.6 cps	37.0 cpm
2023-08-16 10:17:46 AM	1	0.6 cps	38.0 cpm
2023-08-16 10:17:47 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:48 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:17:49 AM	0	0.6 cps	38.0 cpm
2023-08-16 10:17:50 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:51 AM	1	0.6 cps	36.0 cpm
2023-08-16 10:17:52 AM	4	0.7 cps	39.0 cpm
2023-08-16 10:17:53 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:54 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:17:55 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:17:56 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:17:57 AM	3	0.7 cps	41.0 cpm
2023-08-16 10:17:58 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:17:59 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:18:00 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:18:01 AM	1	0.7 cps	39.0 cpm
2023-08-16 10:18:02 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:18:03 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:18:04 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:18:05 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:18:06 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:18:07 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:18:08 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:18:09 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:18:10 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:18:11 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:18:12 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:18:13 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:18:14 AM	3	0.7 cps	42.0 cpm
2023-08-16 10:18:15 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:18:16 AM	1	0.7 cps	41.0 cpm
2023-08-16 10:18:17 AM	2	0.7 cps	43.0 cpm
2023-08-16 10:18:18 AM	0	0.7 cps	42.0 cpm
2023-08-16 10:18:19 AM	0	0.7 cps	41.0 cpm
2023-08-16 10:18:20 AM	0	0.7 cps	39.0 cpm
2023-08-16 10:18:21 AM	1	0.7 cps	40.0 cpm
2023-08-16 10:18:22 AM	0	0.7 cps	40.0 cpm
2023-08-16 10:18:23 AM	2	0.7 cps	42.0 cpm
2023-08-16 10:18:24 AM	1	0.7 cps	43.0 cpm
2023-08-16 10:18:25 AM	1	0.7 cps	42.0 cpm
2023-08-16 10:18:26 AM	1	0.7 cps	43.0 cpm
2023-08-16 10:18:27 AM	1	0.7 cps	44.0 cpm
2023-08-16 10:18:28 AM	0	0.7 cps	44.0 cpm
2023-08-16 10:18:29 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:18:30 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:18:31 AM	1	0.7 cps	44.0 cpm
2023-08-16 10:18:32 AM	1	0.8 cps	45.0 cpm
2023-08-16 10:18:33 AM	1	0.8 cps	45.0 cpm
2023-08-16 10:18:34 AM	0	0.7 cps	44.0 cpm
2023-08-16 10:18:35 AM	0	0.7 cps	44.0 cpm
2023-08-16 10:18:36 AM	0	0.7 cps	44.0 cpm
2023-08-16 10:18:37 AM	2	0.8 cps	46.0 cpm
2023-08-16 10:18:38 AM	0	0.8 cps	45.0 cpm
2023-08-16 10:18:39 AM	0	0.7 cps	44.0 cpm
2023-08-16 10:18:40 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:18:41 AM	0	0.7 cps	42.0 cpm
2023-08-16 10:18:42 AM	0	0.7 cps	42.0 cpm
2023-08-16 10:18:43 AM	0	0.7 cps	42.0 cpm
2023-08-16 10:18:44 AM	1	0.7 cps	43.0 cpm
2023-08-16 10:18:45 AM	1	0.7 cps	44.0 cpm
2023-08-16 10:18:46 AM	0	0.7 cps	43.0 cpm
2023-08-16 10:18:47 AM	1	0.7 cps	43.0 cpm
2023-08-16 10:18:48 AM	2	0.8 cps	45.0 cpm
2023-08-16 10:18:49 AM	1	0.8 cps	46.0 cpm
2023-08-16 10:18:50 AM	0	0.8 cps	45.0 cpm
2023-08-16 10:18:51 AM	2	0.8 cps	46.0 cpm
2023-08-16 10:18:52 AM	0	0.7 cps	42.0 cpm
